user_id,age,gender,country,profession,primary_platform,platforms_used_count,daily_usage_hours,sessions_per_day,avg_session_duration_min,preferred_device,peak_usage_time,followers_count,following_count,posts_per_week,likes_given_per_day,comments_per_day,shares_per_day,dms_sent_per_day,preferred_content_type,scroll_speed,purchased_via_social_media,primary_purpose,sleep_disruption,notification_frequency,influencer_status,account_join_date,takes_social_media_breaks
USR00001,30,Female,UK,Doctor,Facebook,1,1.6,2,48,Smartphone,Late Night (12am+),353,99,1,17,1,3,8,Photos,Medium,Yes,Entertainment,No impact,Do Not Disturb,No,21-10-2022,No
USR00002,25,Male,USA,Entrepreneur,Instagram,2,2.4,5,28.8,Smartphone,Afternoon (12-4pm),276,514,2,28,3,4,16,Memes,Medium,Yes,News & Updates,Moderate impact,Selected,No,03-12-2024,Yes
USR00003,32,Male,UAE,Freelancer,TikTok,5,0.5,6,5,Smartphone,Night (9pm-12am),203,422,3,26,4,2,7,Videos,Slow,No,Learning,Mild impact,Always On,No,29-03-2023,Yes
USR00004,39,Prefer not to say,Pakistan,Other,TikTok,4,3,7,25.7,Smartphone,Evening (6-9pm),29083,474,1,16,3,1,12,Entertainment,Fast,No,Entertainment,Mild impact,Always On,Yes,26-04-2024,No
USR00005,25,Male,UK,Other,YouTube,3,3.9,7,33.4,Tablet,Evening (6-9pm),104,197,2,27,7,4,7,Photos,Fast,No,Entertainment,Mild impact,Do Not Disturb,No,08-09-2023,No
USR00006,25,Female,India,Other,Facebook,3,4.6,7,39.4,Smartphone,Afternoon (12-4pm),866,123,3,11,5,2,10,Videos,Fast,Sometimes,Business/Marketing,Mild impact,Selected,No,18-07-2023,Yes
USR00007,39,Female,India,Teacher,Snapchat,1,0.7,6,7,Laptop,Night (9pm-12am),1932,212,3,17,5,2,4,Memes,Medium,No,Business/Marketing,Moderate impact,Always On,No,05-05-2022,Yes
USR00008,33,Female,UAE,Freelancer,Instagram,2,1.5,5,18,Smartphone,Morning (6-10am),2067,446,4,20,7,2,10,Entertainment,Fast,No,Business/Marketing,Mild impact,Off,No,25-12-2022,Yes
USR00009,23,Female,Brazil,Marketer,Twitter/X,2,4.4,5,52.8,Tablet,Late Night (12am+),598,17,6,21,6,1,7,Memes,Medium,No,Learning,No impact,Selected,No,24-05-2024,Occasionally
USR00010,31,Male,Brazil,Doctor,Instagram,1,2.3,8,17.2,Desktop,Afternoon (12-4pm),431,392,2,13,5,1,4,Educational,Medium,Sometimes,Learning,Moderate impact,Selected,No,12-10-2024,No
USR00011,23,Female,USA,Freelancer,Instagram,3,3.9,7,33.4,Smartphone,Night (9pm-12am),1499,354,5,28,10,1,7,Reels/Shorts,Medium,No,News & Updates,No impact,Do Not Disturb,No,07-04-2022,No
USR00012,23,Male,Pakistan,Student,Twitter/X,1,1,4,15,Laptop,Morning (6-10am),1074,263,2,25,5,5,9,Reels/Shorts,Fast,Sometimes,Entertainment,Severe impact,Selected,No,07-12-2023,Occasionally
USR00013,28,Female,Australia,Other,Instagram,4,5.8,5,69.6,Smartphone,Night (9pm-12am),417,204,2,21,3,1,7,Stories,Medium,Yes,Entertainment,Mild impact,Always On,No,20-02-2024,Occasionally
USR00014,13,Male,USA,Teacher,Instagram,3,0.9,8,6.8,Smart TV,Late Night (12am+),39,11,3,20,2,1,11,Entertainment,Medium,No,Learning,No impact,Do Not Disturb,No,10-12-2024,Yes
USR00015,13,Female,USA,Doctor,Facebook,2,2.9,5,34.8,Smartphone,Afternoon (12-4pm),286,144,4,22,1,3,7,Videos,Fast,No,Socializing,Mild impact,Always On,No,15-10-2023,Occasionally
USR00016,22,Female,India,Engineer,Twitter/X,5,3,2,90,Smartphone,Evening (6-9pm),84,2095,3,18,5,3,6,Memes,Fast,No,Learning,Mild impact,Off,No,02-05-2024,No
USR00017,18,Female,USA,Freelancer,TikTok,5,1.8,3,36,Smartphone,Night (9pm-12am),200,248,4,22,9,0,12,Memes,Fast,No,News & Updates,No impact,Selected,No,16-04-2024,Yes
USR00018,29,Male,Nigeria,Designer,Facebook,3,3.5,7,30,Smartphone,Night (9pm-12am),706,169,4,16,3,1,7,Memes,Medium,No,Networking,No impact,Selected,No,02-11-2022,No
USR00019,19,Female,Australia,Other,YouTube,3,3.6,3,72,Smartphone,Morning (6-10am),1268,249,5,13,5,3,8,Educational,Medium,No,Entertainment,Severe impact,Off,No,07-09-2023,Occasionally
USR00020,15,Female,Pakistan,Entrepreneur,Instagram,2,3.4,8,25.5,Smartphone,Morning (6-10am),16396,374,3,21,5,3,7,Photos,Medium,No,News & Updates,Mild impact,Always On,Yes,10-02-2024,Occasionally
USR00021,38,Male,Canada,Doctor,YouTube,5,1.8,1,108,Smartphone,Afternoon (12-4pm),252,539,2,22,3,1,8,Videos,Medium,Sometimes,Networking,No impact,Selected,No,12-01-2023,Occasionally
USR00022,25,Female,USA,Freelancer,Facebook,1,1.6,5,19.2,Laptop,Morning (6-10am),2682,185,5,15,7,2,10,Memes,Medium,No,News & Updates,Mild impact,Do Not Disturb,No,27-08-2024,No
USR00023,27,Female,Nigeria,Marketer,TikTok,1,1.9,3,38,Laptop,Evening (6-9pm),1153,407,4,27,2,1,6,Photos,Medium,No,Networking,No impact,Selected,No,09-05-2023,Yes
USR00024,15,Female,Germany,Marketer,Instagram,1,1.4,5,16.8,Smartphone,Evening (6-9pm),6855,1829,1,16,9,2,9,News,Fast,Yes,Entertainment,No impact,Selected,No,07-04-2023,Occasionally
USR00025,22,Female,India,Marketer,LinkedIn,1,5.1,5,61.2,Smartphone,Night (9pm-12am),1876,818,0,21,6,5,2,News,Medium,No,Entertainment,No impact,Always On,No,08-09-2023,Occasionally
USR00026,27,Female,Germany,Other,TikTok,5,2.1,2,63,Smartphone,Afternoon (12-4pm),108,4057,3,23,3,0,8,Videos,Medium,Yes,Socializing,Moderate impact,Selected,No,23-10-2022,Occasionally
USR00027,17,Male,Nigeria,Entrepreneur,Instagram,5,2.9,7,24.9,Laptop,Morning (6-10am),29,111,5,18,0,2,5,Memes,Medium,Sometimes,News & Updates,No impact,Selected,No,06-08-2024,Yes
USR00028,30,Male,USA,Designer,Instagram,2,4.3,2,129,Smartphone,Night (9pm-12am),1164,1828,4,20,9,3,12,News,Medium,Sometimes,Business/Marketing,Mild impact,Always On,No,29-04-2022,No
USR00029,22,Male,Australia,Student,Snapchat,3,1.3,4,19.5,Laptop,Evening (6-9pm),256,94,9,13,7,1,7,Videos,Medium,No,Networking,No impact,Selected,No,25-04-2024,Yes
USR00030,24,Female,Pakistan,Researcher,Facebook,5,0.9,5,10.8,Tablet,Morning (6-10am),113,374,1,15,4,3,8,Educational,Medium,Sometimes,Networking,Mild impact,Always On,No,03-05-2024,No
USR00031,22,Male,UK,Marketer,YouTube,5,1.4,4,21,Smartphone,Late Night (12am+),67,589,2,25,1,0,9,News,Slow,No,Learning,Mild impact,Selected,No,21-12-2024,No
USR00032,41,Male,Pakistan,Marketer,YouTube,3,3.1,4,46.5,Smartphone,Late Night (12am+),888,132,3,21,5,2,10,News,Fast,Sometimes,Networking,Mild impact,Do Not Disturb,No,02-10-2022,No
USR00033,26,Male,India,Marketer,Twitter/X,4,3,5,36,Smartphone,Afternoon (12-4pm),10035,271,7,21,5,6,7,Educational,Fast,No,Learning,Mild impact,Selected,Yes,06-03-2024,Occasionally
USR00034,18,Female,USA,Marketer,Pinterest,1,3.4,4,51,Smartphone,Afternoon (12-4pm),318,729,4,33,2,4,7,Photos,Fast,No,Entertainment,Moderate impact,Always On,No,13-05-2023,No
USR00035,33,Male,Australia,Designer,TikTok,5,2.4,4,36,Smartphone,Late Night (12am+),1924,104,6,16,5,1,11,Memes,Medium,Sometimes,Business/Marketing,Moderate impact,Do Not Disturb,No,07-06-2023,No
USR00036,17,Male,Nigeria,Freelancer,Twitter/X,5,0.5,5,6,Laptop,Evening (6-9pm),553,1813,3,22,5,1,12,Photos,Medium,No,Networking,Mild impact,Do Not Disturb,No,21-02-2023,Yes
USR00037,28,Female,Pakistan,Marketer,Snapchat,1,2.4,7,20.6,Desktop,Night (9pm-12am),65,46,4,13,5,2,10,News,Fast,No,Business/Marketing,Mild impact,Do Not Disturb,No,08-11-2023,Yes
USR00038,13,Female,Nigeria,Designer,Facebook,5,4.7,6,47,Smartphone,Morning (6-10am),2496,2508,2,15,2,3,8,Stories,Medium,Sometimes,Business/Marketing,Moderate impact,Do Not Disturb,No,11-06-2022,No
